Total actions: 790
Draw calls: 262

  Idx  EventId Name                                      Indices    Verts  PS_CBuffers
  251     1936 1936                                            6        6  uniforms28[_child0]
  252     1940 1940                                            6        6  uniforms28[_child0]
  253     1944 1944                                            6        6  uniforms13[_child0,_child1,_child2,_child3,_child4]
  254     1947 1947                                            6        6  
  255     1950 1950                                            6        6  uniforms28[_child0]
  256     1954 1954                                           12       12  uniforms28[_child0]
  257     1957 1957                                            6        6  uniforms15[_child0,_child1,_child2] | uniforms25[_child0,_child1,_child2,_child3,_child4...]
  258     1960 1960                                            6        6  
  259     1965 1965                                          132      132  uniforms68[_child0,_child1,_child2,_child3,_child4...]
  260     1969 1969                                          192      192  uniforms68[_child0,_child1,_child2,_child3,_child4...]
  261     1974 1974                                            6        6  uniforms28[_child0]
